0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:15 +0700] "GET /BachShop/assets/img/b.jpg HTTP/1.1" 404 660
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:15 +0700] "GET /BachShop/assets/user/assets/img/new.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:15 +0700] "GET /BachShop/assets/img/a.jpg HTTP/1.1" 404 660
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:15 +0700] "GET /BachShop/assets/img/c.jpg HTTP/1.1" 404 660
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:20 +0700] "GET /BachShop/san-pham/1 HTTP/1.1" 200 17558
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:20 +0700] "GET /BachShop/san-pham/assets/img/a.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:20 +0700] "GET /BachShop/san-pham/assets/img/c.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:20 +0700] "GET /BachShop/san-pham/assets/img/b.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:20 +0700] "GET /BachShop/san-pham/assets/img/d.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:20 +0700] "GET /BachShop/assets/user/js/js/jquery.easing-1.3.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:20 +0700] "GET /BachShop/assets/user/js/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:20 +0700] "GET /BachShop/assets/user/js/js/shop.js HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:20 +0700] "GET /BachShop/san-pham/assets/img/e.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:20 +0700] "GET /BachShop/san-pham/assets/img/g.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:20 +0700] "GET /BachShop/san-pham/assets/img/f.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:20 +0700] "GET /BachShop/san-pham/assets/img/i.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:20 +0700] "GET /BachShop/san-pham/assets/img/h.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:26 +0700] "GET /BachShop/san-pham/2 HTTP/1.1" 200 17558
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:26 +0700] "GET /BachShop/san-pham/assets/img/b.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:26 +0700] "GET /BachShop/san-pham/assets/img/a.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:26 +0700] "GET /BachShop/san-pham/assets/img/c.jpg HTTP/1.1" 404 699
